ensembl,gene,transcript,ensemblfamily
ENSG00000100311,PDGFB,ENST00000455790,PTHR11633_SF2
ENSG00000100324,TAB1,ENST00000490819,
ENSG00000100324,TAB1,ENST00000461775,
ENSG00000100324,TAB1,ENST00000216160,PTHR13832_SF250
ENSG00000100324,TAB1,ENST00000473613,
ENSG00000100324,TAB1,ENST00000331454,PTHR13832_SF250
ENSG00000100324,TAB1,ENST00000473491,
ENSG00000100324,TAB1,ENST00000488859,
ENSG00000100342,APOL1,ENST00000397279,PTHR14096
ENSG00000100342,APOL1,ENST00000319136,PTHR14096
ENSG00000100342,APOL1,ENST00000438034,
ENSG00000100342,APOL1,ENST00000422471,
ENSG00000100342,APOL1,ENST00000397278,PTHR14096
ENSG00000100342,APOL1,ENST00000433768,
ENSG00000100342,APOL1,ENST00000426053,PTHR14096
ENSG00000100342,APOL1,ENST00000475519,
ENSG00000100342,APOL1,ENST00000427990,PTHR14096
ENSG00000100342,APOL1,ENST00000439680,
ENSG00000100342,APOL1,ENST00000431184,
ENSG00000100342,APOL1,ENST00000422706,PTHR14096
ENSG00000100345,MYH9,ENST00000459960,
ENSG00000100345,MYH9,ENST00000486218,
ENSG00000100345,MYH9,ENST00000472210,
ENSG00000100345,MYH9,ENST00000463027,
ENSG00000100345,MYH9,ENST00000473022,
ENSG00000100345,MYH9,ENST00000475726,
ENSG00000100345,MYH9,ENST00000495928,
ENSG00000100345,MYH9,ENST00000477189,
ENSG00000100345,MYH9,ENST00000401701,PTHR13140_SF317
ENSG00000100345,MYH9,ENST00000216181,PTHR13140_SF317
ENSG00000100345,MYH9,ENST00000456729,PTHR13140_SF317
ENSG00000100351,GRAP2,ENST00000344138,PTHR22820_SF28
ENSG00000100351,GRAP2,ENST00000460449,
ENSG00000100351,GRAP2,ENST00000420971,PTHR22820_SF28
ENSG00000100351,GRAP2,ENST00000478445,
ENSG00000100351,GRAP2,ENST00000407075,PTHR22820_SF28
ENSG00000100351,GRAP2,ENST00000461082,
ENSG00000100351,GRAP2,ENST00000481263,
ENSG00000100354,TNRC6B,ENST00000446273,PTHR13020_SF32
ENSG00000100354,TNRC6B,ENST00000467658,
ENSG00000100354,TNRC6B,ENST00000454349,PTHR13020_SF32
ENSG00000100354,TNRC6B,ENST00000489500,
ENSG00000100354,TNRC6B,ENST00000497559,
ENSG00000100354,TNRC6B,ENST00000402203,PTHR13020_SF32
ENSG00000100354,TNRC6B,ENST00000301923,PTHR13020_SF32
ENSG00000100354,TNRC6B,ENST00000441751,
ENSG00000100354,TNRC6B,ENST00000335727,PTHR13020_SF32
ENSG00000100368,CSF2RB,ENST00000406230,PTHR23037_SF22
ENSG00000100368,CSF2RB,ENST00000403662,PTHR23037_SF22
ENSG00000100368,CSF2RB,ENST00000421539,PTHR23037_SF22
ENSG00000100368,CSF2RB,ENST00000262825,PTHR23037_SF22
ENSG00000100385,IL2RB,ENST00000440958,
ENSG00000100385,IL2RB,ENST00000453962,PTHR23037_SF23
ENSG00000100385,IL2RB,ENST00000483573,
ENSG00000100385,IL2RB,ENST00000216223,PTHR23037_SF23
ENSG00000100385,IL2RB,ENST00000461607,
ENSG00000100385,IL2RB,ENST00000429622,PTHR23037_SF23
ENSG00000100385,IL2RB,ENST00000445595,PTHR23037_SF23
ENSG00000100393,EP300,ENST00000635691,
ENSG00000100393,EP300,ENST00000635552,
ENSG00000100393,EP300,ENST00000635083,
ENSG00000100393,EP300,ENST00000634728,PTHR13808_SF4
ENSG00000100393,EP300,ENST00000634422,
ENSG00000100393,EP300,ENST00000263253,PTHR13808_SF4
ENSG00000100393,EP300,ENST00000634787,
ENSG00000100393,EP300,ENST00000634690,PTHR13808_SF4
ENSG00000100393,EP300,ENST00000635538,
ENSG00000100393,EP300,ENST00000637592,
ENSG00000100393,EP300,ENST00000635584,
ENSG00000100393,EP300,ENST00000634860,
ENSG00000100448,CTSG,ENST00000216336,PTHR24271
ENSG00000100448,CTSG,ENST00000552252,
ENSG00000100604,CHGA,ENST00000556098,
ENSG00000100604,CHGA,ENST00000553866,
ENSG00000100604,CHGA,ENST00000216492,PTHR10583
ENSG00000100604,CHGA,ENST00000334654,PTHR10583
ENSG00000100604,CHGA,ENST00000556076,
ENSG00000100604,CHGA,ENST00000556876,
ENSG00000100644,HIF1A,ENST00000556827,
ENSG00000100644,HIF1A,ENST00000553999,
ENSG00000100644,HIF1A,ENST00000539097,PTHR23043_SF7
ENSG00000100644,HIF1A,ENST00000323441,PTHR23043_SF7
ENSG00000100644,HIF1A,ENST00000394997,PTHR23043_SF7
ENSG00000100644,HIF1A,ENST00000556237,
ENSG00000100644,HIF1A,ENST00000557206,
ENSG00000100644,HIF1A,ENST00000547430,
ENSG00000100644,HIF1A,ENST00000337138,PTHR23043_SF7
ENSG00000100644,HIF1A,ENST00000555014,
ENSG00000100644,HIF1A,ENST00000557446,
ENSG00000100644,HIF1A,ENST00000557538,PTHR23043_SF7
ENSG00000100784,RPS6KA5,ENST00000648062,PTHR24351_SF42
ENSG00000100784,RPS6KA5,ENST00000554206,PTHR24351_SF42
ENSG00000100784,RPS6KA5,ENST00000536315,PTHR24351_SF42
ENSG00000100784,RPS6KA5,ENST00000556304,
ENSG00000100784,RPS6KA5,ENST00000614987,PTHR24351_SF42
ENSG00000100784,RPS6KA5,ENST00000556178,PTHR24351_SF42
ENSG00000100784,RPS6KA5,ENST00000418736,PTHR24351_SF42
ENSG00000100784,RPS6KA5,ENST00000556594,
ENSG00000100811,YY1,ENST00000553625,PTHR14003_SF10
ENSG00000100811,YY1,ENST00000623799,
ENSG00000100811,YY1,ENST00000554579,
ENSG00000100811,YY1,ENST00000554804,PTHR14003_SF10
ENSG00000100811,YY1,ENST00000651219,PTHR14003_SF10
ENSG00000100811,YY1,ENST00000554371,
ENSG00000100811,YY1,ENST00000262238,PTHR14003_SF10
ENSG00000100968,NFATC4,ENST00000553879,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000554655,
ENSG00000100968,NFATC4,ENST00000556302,
ENSG00000100968,NFATC4,ENST00000554779,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000555167,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000555590,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000250373,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000539237,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000422617,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000553469,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000554473,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000554050,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000554966,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000553708,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000554661,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000440487,
ENSG00000100968,NFATC4,ENST00000555453,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000556279,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000554591,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000557767,
ENSG00000100968,NFATC4,ENST00000555821,
ENSG00000100968,NFATC4,ENST00000557028,
ENSG00000100968,NFATC4,ENST00000555802,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000555393,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000556957,
ENSG00000100968,NFATC4,ENST00000556759,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000557451,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000556169,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000557674,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000554344,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000424781,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000554903,PTHR12533_SF9
ENSG00000100968,NFATC4,ENST00000413692,PTHR12533_SF9
ENSG00000100979,PLTP,ENST00000477313,PTHR10504
ENSG00000100979,PLTP,ENST00000372420,PTHR10504
ENSG00000100979,PLTP,ENST00000354050,PTHR10504
ENSG00000100979,PLTP,ENST00000372431,PTHR10504
ENSG00000100979,PLTP,ENST00000420868,PTHR10504
ENSG00000100985,MMP9,ENST00000372330,PTHR10201_SF30
ENSG00000101000,PROCR,ENST00000216968,PTHR15349
ENSG00000101000,PROCR,ENST00000635377,PTHR15349
ENSG00000101000,PROCR,ENST00000634509,
ENSG00000101017,CD40,ENST00000489304,
ENSG00000101017,CD40,ENST00000477696,
ENSG00000101017,CD40,ENST00000372285,PTHR23097_SF103
ENSG00000101017,CD40,ENST00000466205,PTHR23097_SF103
ENSG00000101017,CD40,ENST00000620709,PTHR23097_SF103
ENSG00000101017,CD40,ENST00000461171,
ENSG00000101017,CD40,ENST00000372276,PTHR23097_SF103
ENSG00000101096,NFATC2,ENST00000371564,PTHR12533_SF4
ENSG00000101096,NFATC2,ENST00000396009,PTHR12533_SF4
ENSG00000101096,NFATC2,ENST00000609507,PTHR12533_SF4
ENSG00000101096,NFATC2,ENST00000609943,PTHR12533_SF4
ENSG00000101096,NFATC2,ENST00000414705,PTHR12533_SF4
ENSG00000101096,NFATC2,ENST00000610033,PTHR12533_SF4
ENSG00000101096,NFATC2,ENST00000496054,
ENSG00000101200,AVP,ENST00000380293,PTHR11681
ENSG00000101255,TRIB3,ENST00000615226,PTHR22961
ENSG00000101255,TRIB3,ENST00000449710,PTHR22961
ENSG00000101255,TRIB3,ENST00000422053,PTHR22961
ENSG00000101255,TRIB3,ENST00000217233,PTHR22961
ENSG00000101307,SIRPB1,ENST00000381605,PTHR19971
ENSG00000101307,SIRPB1,ENST00000569629,
ENSG00000101307,SIRPB1,ENST00000381603,PTHR19971
ENSG00000101307,SIRPB1,ENST00000565775,
ENSG00000101307,SIRPB1,ENST00000381596,
ENSG00000101307,SIRPB1,ENST00000569387,PTHR19971
ENSG00000101307,SIRPB1,ENST00000568365,PTHR19971
ENSG00000101307,SIRPB1,ENST00000565087,PTHR19971
ENSG00000101307,SIRPB1,ENST00000565230,PTHR19971
ENSG00000101307,SIRPB1,ENST00000565076,PTHR19971
ENSG00000101307,SIRPB1,ENST00000563840,PTHR19971
ENSG00000101307,SIRPB1,ENST00000262929,PTHR19971
ENSG00000101307,SIRPB1,ENST00000566055,PTHR19971
ENSG00000101307,SIRPB1,ENST00000279477,PTHR19971
ENSG00000101307,SIRPB1,ENST00000562014,PTHR19971
ENSG00000101336,HCK,ENST00000375862,PTHR24418_SF181
ENSG00000101336,HCK,ENST00000520553,PTHR24418_SF181
ENSG00000101336,HCK,ENST00000486475,
ENSG00000101336,HCK,ENST00000639405,PTHR24418_SF181
ENSG00000101336,HCK,ENST00000262651,
ENSG00000101336,HCK,ENST00000518730,PTHR24418_SF181
ENSG00000101336,HCK,ENST00000534862,PTHR24418_SF181
ENSG00000101336,HCK,ENST00000375852,PTHR24418_SF181
ENSG00000101336,HCK,ENST00000629881,PTHR24418_SF181
ENSG00000101336,HCK,ENST00000538448,PTHR24418_SF181
ENSG00000101336,HCK,ENST00000470092,
ENSG00000101412,E2F1,ENST00000343380,PTHR12081_SF21
ENSG00000101665,SMAD7,ENST00000545051,
ENSG00000101665,SMAD7,ENST00000591805,PTHR13703_SF27
ENSG00000101665,SMAD7,ENST00000588190,
ENSG00000101665,SMAD7,ENST00000262158,PTHR13703_SF27
ENSG00000101665,SMAD7,ENST00000586093,PTHR13703_SF27
ENSG00000101665,SMAD7,ENST00000585986,
ENSG00000101665,SMAD7,ENST00000589634,PTHR13703_SF27
ENSG00000101665,SMAD7,ENST00000587336,
ENSG00000101695,RNF125,ENST00000583814,
ENSG00000101695,RNF125,ENST00000580209,
ENSG00000101695,RNF125,ENST00000583384,
ENSG00000101695,RNF125,ENST00000580863,
ENSG00000101695,RNF125,ENST00000217740,PTHR13982
ENSG00000101871,MID1,ENST00000453318,PTHR24103_SF26
ENSG00000101871,MID1,ENST00000423614,PTHR24103_SF26
ENSG00000101871,MID1,ENST00000317552,PTHR24103_SF26
ENSG00000101871,MID1,ENST00000616003,PTHR24103_SF26
ENSG00000101871,MID1,ENST00000380779,PTHR24103_SF26
ENSG00000101871,MID1,ENST00000479925,
ENSG00000101871,MID1,ENST00000380787,PTHR24103_SF26
ENSG00000101871,MID1,ENST00000413894,PTHR24103_SF26
ENSG00000101871,MID1,ENST00000610939,PTHR24103_SF26
ENSG00000101871,MID1,ENST00000380780,PTHR24103_SF26
ENSG00000101871,MID1,ENST00000380785,PTHR24103_SF26
ENSG00000101871,MID1,ENST00000380782,PTHR24103_SF26
ENSG00000101966,XIAP,ENST00000422098,
ENSG00000101966,XIAP,ENST00000497906,
ENSG00000101966,XIAP,ENST00000355640,PTHR10044_SF10
ENSG00000101966,XIAP,ENST00000430625,PTHR10044_SF10
ENSG00000101966,XIAP,ENST00000434753,PTHR10044_SF10
ENSG00000101966,XIAP,ENST00000496602,
ENSG00000101966,XIAP,ENST00000497640,
ENSG00000101966,XIAP,ENST00000468503,
ENSG00000101966,XIAP,ENST00000468691,
ENSG00000101966,XIAP,ENST00000371199,PTHR10044_SF10
ENSG00000101966,XIAP,ENST00000481776,
ENSG00000102010,BMX,ENST00000348343,PTHR24418_SF91
ENSG00000102010,BMX,ENST00000357607,PTHR24418_SF91
ENSG00000102010,BMX,ENST00000463891,
ENSG00000102010,BMX,ENST00000342014,PTHR24418_SF91
ENSG00000102010,BMX,ENST00000489983,
ENSG00000102034,ELF4,ENST00000615377,PTHR11849_SF170
ENSG00000102034,ELF4,ENST00000434609,
ENSG00000102034,ELF4,ENST00000308167,PTHR11849_SF170
ENSG00000102034,ELF4,ENST00000335997,PTHR11849_SF170
ENSG00000102239,BRS3,ENST00000370648,PTHR24243
ENSG00000102678,FGF9,ENST00000461657,
ENSG00000102678,FGF9,ENST00000478546,
ENSG00000102678,FGF9,ENST00000382353,PTHR11486_SF28
ENSG00000102837,OLFM4,ENST00000219022,PTHR23192_SF7
ENSG00000102871,TRADD,ENST00000566104,
ENSG00000102871,TRADD,ENST00000566247,
ENSG00000102871,TRADD,ENST00000486556,PTHR14913
ENSG00000102871,TRADD,ENST00000345057,PTHR14913
ENSG00000102871,TRADD,ENST00000563348,
ENSG00000102882,MAPK3,ENST00000395202,PTHR24055_SF111
ENSG00000102882,MAPK3,ENST00000466521,PTHR24055_SF111
ENSG00000102882,MAPK3,ENST00000484663,PTHR24055_SF111
ENSG00000102882,MAPK3,ENST00000461737,PTHR24055_SF111
ENSG00000102882,MAPK3,ENST00000473431,
ENSG00000102882,MAPK3,ENST00000490298,PTHR24055_SF111
ENSG00000102882,MAPK3,ENST00000485579,
ENSG00000102882,MAPK3,ENST00000483869,
ENSG00000102882,MAPK3,ENST00000478356,PTHR24055_SF111
ENSG00000102882,MAPK3,ENST00000494643,
ENSG00000102882,MAPK3,ENST00000481230,PTHR24055_SF111
ENSG00000102882,MAPK3,ENST00000263025,PTHR24055_SF111
ENSG00000102882,MAPK3,ENST00000322266,PTHR24055_SF111
ENSG00000102882,MAPK3,ENST00000395200,PTHR24055_SF111
ENSG00000102882,MAPK3,ENST00000395199,PTHR24055_SF111
ENSG00000102908,NFAT5,ENST00000393742,
ENSG00000102908,NFAT5,ENST00000566899,
ENSG00000102908,NFAT5,ENST00000567990,PTHR12533_SF7
ENSG00000102908,NFAT5,ENST00000627621,PTHR12533_SF7
ENSG00000102908,NFAT5,ENST00000650987,PTHR12533_SF7
ENSG00000102908,NFAT5,ENST00000562429,
ENSG00000102908,NFAT5,ENST00000568832,
ENSG00000102908,NFAT5,ENST00000567239,PTHR12533_SF7
ENSG00000102908,NFAT5,ENST00000565301,PTHR12533_SF7
ENSG00000102908,NFAT5,ENST00000349945,PTHR12533_SF7
ENSG00000102908,NFAT5,ENST00000563474,PTHR12533_SF7
ENSG00000102908,NFAT5,ENST00000354436,PTHR12533_SF7
ENSG00000102908,NFAT5,ENST00000426654,PTHR12533_SF7
ENSG00000102970,CCL17,ENST00000219244,PTHR12015
ENSG00000102970,CCL17,ENST00000616880,PTHR12015
ENSG00000103313,MEFV,ENST00000536980,PTHR24103_SF264
ENSG00000103313,MEFV,ENST00000572244,
ENSG00000103313,MEFV,ENST00000536379,PTHR24103_SF264
ENSG00000103313,MEFV,ENST00000570511,
ENSG00000103313,MEFV,ENST00000538326,PTHR24103_SF264
ENSG00000103313,MEFV,ENST00000539145,
ENSG00000103313,MEFV,ENST00000339854,PTHR24103_SF264
ENSG00000103313,MEFV,ENST00000576315,
ENSG00000103313,MEFV,ENST00000574583,
ENSG00000103313,MEFV,ENST00000219596,PTHR24103_SF264
ENSG00000103313,MEFV,ENST00000541159,PTHR24103_SF264
ENSG00000103313,MEFV,ENST00000542898,PTHR24103_SF264
ENSG00000103313,MEFV,ENST00000537682,PTHR24103_SF264
ENSG00000103313,MEFV,ENST00000539154,
ENSG00000103363,ELOB,ENST00000494946,PTHR13248
ENSG00000103363,ELOB,ENST00000572954,PTHR13248
ENSG00000103363,ELOB,ENST00000409477,PTHR13248
ENSG00000103363,ELOB,ENST00000262306,PTHR13248
ENSG00000103363,ELOB,ENST00000409906,PTHR13248
ENSG00000103490,PYCARD,ENST00000350605,PTHR10454_SF135
ENSG00000103490,PYCARD,ENST00000565022,
ENSG00000103490,PYCARD,ENST00000247470,PTHR10454_SF135
ENSG00000103490,PYCARD,ENST00000561508,PTHR10454_SF130
ENSG00000103769,RAB11A,ENST00000261890,PTHR24073_SF313
ENSG00000103769,RAB11A,ENST00000564910,PTHR24073_SF313
ENSG00000103769,RAB11A,ENST00000569304,
ENSG00000103769,RAB11A,ENST00000566233,PTHR24073_SF335
ENSG00000103769,RAB11A,ENST00000569896,PTHR24073_SF335
ENSG00000103769,RAB11A,ENST00000567671,PTHR24073_SF313
ENSG00000103769,RAB11A,ENST00000563580,
ENSG00000103769,RAB11A,ENST00000565075,PTHR24073_SF313
ENSG00000103769,RAB11A,ENST00000568850,
ENSG00000104228,TRIM35,ENST00000519219,
ENSG00000104228,TRIM35,ENST00000521253,PTHR24103_SF213
ENSG00000104228,TRIM35,ENST00000305364,PTHR24103_SF213
ENSG00000104228,TRIM35,ENST00000521283,PTHR24103_SF213
ENSG00000104312,RIPK2,ENST00000518673,
ENSG00000104312,RIPK2,ENST00000220751,PTHR23257_SF323
ENSG00000104312,RIPK2,ENST00000522965,PTHR23257_SF323
ENSG00000104312,RIPK2,ENST00000517696,PTHR23257_SF323
ENSG00000104365,IKBKB,ENST00000519733,
ENSG00000104365,IKBKB,ENST00000517917,
ENSG00000104365,IKBKB,ENST00000521661,PTHR22969
ENSG00000104365,IKBKB,ENST00000520655,PTHR22969
ENSG00000104365,IKBKB,ENST00000648136,
ENSG00000104365,IKBKB,ENST00000523105,
ENSG00000104365,IKBKB,ENST00000521225,
ENSG00000104365,IKBKB,ENST00000518983,
ENSG00000104365,IKBKB,ENST00000518679,
ENSG00000104365,IKBKB,ENST00000517890,
ENSG00000104365,IKBKB,ENST00000649751,
ENSG00000104365,IKBKB,ENST00000629753,PTHR22969
ENSG00000104365,IKBKB,ENST00000519938,
ENSG00000104365,IKBKB,ENST00000522147,
ENSG00000104365,IKBKB,ENST00000523018,
ENSG00000104365,IKBKB,ENST00000649612,PTHR22969
ENSG00000104365,IKBKB,ENST00000520835,PTHR22969
ENSG00000104365,IKBKB,ENST00000522103,
ENSG00000104365,IKBKB,ENST00000522133,
ENSG00000104365,IKBKB,ENST00000519735,
ENSG00000104365,IKBKB,ENST00000517388,
ENSG00000104365,IKBKB,ENST00000518647,
ENSG00000104365,IKBKB,ENST00000342222,PTHR22969
ENSG00000104365,IKBKB,ENST00000517812,
ENSG00000104365,IKBKB,ENST00000517502,
ENSG00000104365,IKBKB,ENST00000520320,
ENSG00000104365,IKBKB,ENST00000416505,PTHR22969
ENSG00000104365,IKBKB,ENST00000520810,PTHR22969
ENSG00000104365,IKBKB,ENST00000523599,
ENSG00000104365,IKBKB,ENST00000520201,
ENSG00000104365,IKBKB,ENST00000523517,PTHR22969
ENSG00000104365,IKBKB,ENST00000522545,
ENSG00000104365,IKBKB,ENST00000522785,
ENSG00000104825,NFKBIB,ENST00000392079,PTHR24139_SF30
ENSG00000104825,NFKBIB,ENST00000509705,PTHR24139_SF30
ENSG00000104825,NFKBIB,ENST00000313582,PTHR24139_SF30
ENSG00000104825,NFKBIB,ENST00000576510,PTHR24139_SF30
ENSG00000104825,NFKBIB,ENST00000575359,PTHR24139_SF30
ENSG00000104825,NFKBIB,ENST00000572515,PTHR24139_SF30
ENSG00000104856,RELB,ENST00000589972,PTHR24169_SF18
ENSG00000104856,RELB,ENST00000625761,PTHR24169_SF18
ENSG00000104856,RELB,ENST00000505236,PTHR24169_SF18
ENSG00000104856,RELB,ENST00000221452,PTHR24169_SF18
ENSG00000104856,RELB,ENST00000509480,
ENSG00000104856,RELB,ENST00000510184,
ENSG00000104856,RELB,ENST00000509229,
ENSG00000104894,CD37,ENST00000596426,
ENSG00000104894,CD37,ENST00000600121,
ENSG00000104894,CD37,ENST00000597033,
ENSG00000104894,CD37,ENST00000598095,PTHR19282_SF185
ENSG00000104894,CD37,ENST00000535669,PTHR19282_SF185
ENSG00000104894,CD37,ENST00000426897,PTHR19282_SF185
ENSG00000104894,CD37,ENST00000597602,
ENSG00000104894,CD37,ENST00000598134,
ENSG00000104894,CD37,ENST00000597852,
ENSG00000104894,CD37,ENST00000593512,
ENSG00000104894,CD37,ENST00000323906,PTHR19282_SF185
ENSG00000104894,CD37,ENST00000594743,PTHR19282_SF185
ENSG00000104894,CD37,ENST00000595660,PTHR19282_SF185
ENSG00000104894,CD37,ENST00000595725,PTHR19282_SF185
ENSG00000104894,CD37,ENST00000391859,PTHR19282_SF185
ENSG00000104938,CLEC4M,ENST00000595496,PTHR22802_SF200
ENSG00000104938,CLEC4M,ENST00000596707,PTHR22802_SF200
ENSG00000104938,CLEC4M,ENST00000602143,
ENSG00000104938,CLEC4M,ENST00000596363,PTHR22802_SF200
ENSG00000104938,CLEC4M,ENST00000599333,
ENSG00000104938,CLEC4M,ENST00000598879,
ENSG00000104938,CLEC4M,ENST00000248228,PTHR22802_SF200
ENSG00000104938,CLEC4M,ENST00000334806,PTHR22802_SF200
ENSG00000104938,CLEC4M,ENST00000394122,PTHR22802_SF200
ENSG00000104938,CLEC4M,ENST00000601089,
ENSG00000104938,CLEC4M,ENST00000327325,PTHR22802_SF200
ENSG00000104938,CLEC4M,ENST00000595751,PTHR22802_SF200
ENSG00000104938,CLEC4M,ENST00000597522,PTHR22802_SF205
ENSG00000104938,CLEC4M,ENST00000359059,PTHR22802_SF200
ENSG00000105229,PIAS4,ENST00000600566,
ENSG00000105229,PIAS4,ENST00000593518,
ENSG00000105229,PIAS4,ENST00000596144,
ENSG00000105229,PIAS4,ENST00000599999,
ENSG00000105229,PIAS4,ENST00000601439,
ENSG00000105229,PIAS4,ENST00000262971,PTHR10782
ENSG00000105245,NUMBL,ENST00000600636,PTHR11232_SF32
ENSG00000105245,NUMBL,ENST00000540131,PTHR11232_SF32
ENSG00000105245,NUMBL,ENST00000593367,
ENSG00000105245,NUMBL,ENST00000599594,
ENSG00000105245,NUMBL,ENST00000595741,PTHR11232_SF32
ENSG00000105245,NUMBL,ENST00000598773,PTHR11232_SF32
ENSG00000105245,NUMBL,ENST00000252891,PTHR11232_SF32
ENSG00000105245,NUMBL,ENST00000600967,PTHR11232_SF32
ENSG00000105245,NUMBL,ENST00000599786,
ENSG00000105245,NUMBL,ENST00000598759,
ENSG00000105245,NUMBL,ENST00000598779,PTHR11232_SF32
ENSG00000105329,TGFB1,ENST00000597453,
ENSG00000105329,TGFB1,ENST00000598758,PTHR11848_SF125
ENSG00000105329,TGFB1,ENST00000600196,
ENSG00000105329,TGFB1,ENST00000221930,PTHR11848_SF125
ENSG00000105366,SIGLEC8,ENST00000430817,PTHR12035
ENSG00000105366,SIGLEC8,ENST00000340550,PTHR12035
ENSG00000105366,SIGLEC8,ENST00000597352,
ENSG00000105366,SIGLEC8,ENST00000321424,PTHR12035
ENSG00000105397,TYK2,ENST00000525976,PTHR24418_SF68
ENSG00000105397,TYK2,ENST00000524462,PTHR24418_SF68
ENSG00000105397,TYK2,ENST00000524470,
ENSG00000105397,TYK2,ENST00000529739,
ENSG00000105397,TYK2,ENST00000529317,
ENSG00000105397,TYK2,ENST00000531836,PTHR24418_SF68
ENSG00000105397,TYK2,ENST00000527481,PTHR24418_SF68
ENSG00000105397,TYK2,ENST00000525220,PTHR24418_SF68
ENSG00000105397,TYK2,ENST00000525621,PTHR24418_SF68
ENSG00000105397,TYK2,ENST00000534228,
ENSG00000105397,TYK2,ENST00000530829,
ENSG00000105397,TYK2,ENST00000264818,PTHR24418_SF68
ENSG00000105397,TYK2,ENST00000525824,
ENSG00000105397,TYK2,ENST00000530560,PTHR24418_SF68
ENSG00000105397,TYK2,ENST00000529370,PTHR24418_SF68
ENSG00000105397,TYK2,ENST00000530220,
ENSG00000105397,TYK2,ENST00000529412,
ENSG00000105397,TYK2,ENST00000592137,
ENSG00000105397,TYK2,ENST00000531620,
ENSG00000105397,TYK2,ENST00000533334,PTHR24418_SF68
ENSG00000105397,TYK2,ENST00000529422,
ENSG00000105492,SIGLEC6,ENST00000346477,PTHR12035
ENSG00000105492,SIGLEC6,ENST00000436458,PTHR12035
ENSG00000105492,SIGLEC6,ENST00000425629,PTHR12035
ENSG00000105492,SIGLEC6,ENST00000343300,PTHR12035
ENSG00000105492,SIGLEC6,ENST00000391797,PTHR12035
ENSG00000105492,SIGLEC6,ENST00000474054,
ENSG00000105492,SIGLEC6,ENST00000489837,
ENSG00000105492,SIGLEC6,ENST00000359982,PTHR12035
ENSG00000105492,SIGLEC6,ENST00000496422,
ENSG00000105501,SIGLEC5,ENST00000534261,PTHR12035
ENSG00000105639,JAK3,ENST00000526008,
ENSG00000105639,JAK3,ENST00000528705,
ENSG00000105639,JAK3,ENST00000527670,PTHR24418_SF214
ENSG00000105639,JAK3,ENST00000458235,PTHR24418_SF214
ENSG00000105639,JAK3,ENST00000534444,PTHR24418_SF214
ENSG00000105639,JAK3,ENST00000528293,
ENSG00000105639,JAK3,ENST00000527031,
ENSG00000105647,PIK3R2,ENST00000474310,
ENSG00000105647,PIK3R2,ENST00000426902,PTHR10155_SF1
ENSG00000105647,PIK3R2,ENST00000617642,PTHR10155_SF1
ENSG00000105647,PIK3R2,ENST00000464016,PTHR10155_SF1
ENSG00000105647,PIK3R2,ENST00000600533,
ENSG00000105647,PIK3R2,ENST00000459743,
ENSG00000105647,PIK3R2,ENST00000222254,PTHR10155_SF1
ENSG00000105647,PIK3R2,ENST00000617130,PTHR10155_SF1
ENSG00000105697,HAMP,ENST00000598398,PTHR16877
ENSG00000105697,HAMP,ENST00000222304,PTHR16877
ENSG00000105697,HAMP,ENST00000593580,
ENSG00000105723,GSK3A,ENST00000222330,PTHR24057
ENSG00000105723,GSK3A,ENST00000398249,PTHR24057
ENSG00000105723,GSK3A,ENST00000453535,PTHR24057
ENSG00000105723,GSK3A,ENST00000493059,
ENSG00000105810,CDK6,ENST00000467166,
ENSG00000105810,CDK6,ENST00000265734,PTHR24056_SF130
ENSG00000105810,CDK6,ENST00000473078,
ENSG00000105810,CDK6,ENST00000424848,PTHR24056_SF130
ENSG00000105810,CDK6,ENST00000491250,
ENSG00000105851,PIK3CG,ENST00000496166,PTHR10048_SF34
ENSG00000105851,PIK3CG,ENST00000359195,PTHR10048_SF34
ENSG00000105851,PIK3CG,ENST00000466738,
ENSG00000105851,PIK3CG,ENST00000473541,PTHR10048_SF34
ENSG00000105851,PIK3CG,ENST00000440650,PTHR10048_SF34
