query,hit identifier,gene,transcript,ensembl,length,bits,identities,percent_identity,e value,ensemblfamily,subfamily
TTRE_0000212901-mRNA-1 transcript=TTRE_0000212901-mRNA-1 gene=TTRE_0000212901,gnl|BL_ORD_ID|71234 ENSG00000154678|PDE1C|ENST00000396182|PTHR11347_SF32,PDE1C,ENST00000396182,ENSG00000154678,635,415.616,208,32.75590551,4.98E-139,PTHR11347,SF32
TTRE_0000837001-mRNA-1 transcript=TTRE_0000837001-mRNA-1 gene=TTRE_0000837001,gnl|BL_ORD_ID|48806 ENSG00000204628|RACK1|ENST00000376817|PTHR19868,RACK1,ENST00000376817,ENSG00000204628,274,392.504,194,70.80291971,8.93E-138,PTHR19868,
TTRE_0000313701-mRNA-1 transcript=TTRE_0000313701-mRNA-1 gene=TTRE_0000313701,gnl|BL_ORD_ID|120359 ENSG00000179295|PTPN11|ENST00000392597|PTHR19134_SF150,PTPN11,ENST00000392597,ENSG00000179295,461,412.149,205,44.46854664,1.65E-137,PTHR19134,SF150
TTRE_0000556701-mRNA-1 transcript=TTRE_0000556701-mRNA-1 gene=TTRE_0000556701,gnl|BL_ORD_ID|113358 ENSG00000117984|CTSD|ENST00000637815|PTHR13683_SF230,CTSD,ENST00000637815,ENSG00000117984,407,398.667,186,45.7002457,6.39E-137,PTHR13683,SF230
TTRE_0000107401-mRNA-1 transcript=TTRE_0000107401-mRNA-1 gene=TTRE_0000107401,gnl|BL_ORD_ID|195393 ENSG00000166913|YWHAB|ENST00000372839|PTHR18860,YWHAB,ENST00000372839,ENSG00000166913,247,387.497,190,76.92307692,9.75E-137,PTHR18860,
TTRE_0000086401-mRNA-1 transcript=TTRE_0000086401-mRNA-1 gene=TTRE_0000086401,gnl|BL_ORD_ID|100000 ENSG00000170312|CDK1|ENST00000395284|PTHR24056_SF173,CDK1,ENST00000395284,ENSG00000170312,298,398.667,187,62.75167785,1.36E-135,PTHR24056,SF173
TTRE_0000594701-mRNA-1 transcript=TTRE_0000594701-mRNA-1 gene=TTRE_0000594701,gnl|BL_ORD_ID|79481 ENSG00000169902|TPST1|ENST00000649664|PTHR12788,TPST1,ENST00000649664,ENSG00000169902,371,391.734,183,49.32614555,1.96E-135,PTHR12788,
TTRE_0000851101-mRNA-1 transcript=TTRE_0000851101-mRNA-1 gene=TTRE_0000851101,gnl|BL_ORD_ID|175247 ENSG00000108946|PRKAR1A|ENST00000589228|PTHR11635_SF129,PRKAR1A,ENST00000589228,ENSG00000108946,382,383.645,178,46.59685864,6.21E-134,PTHR11635,SF129
TTRE_0000246401-mRNA-1 transcript=TTRE_0000246401-mRNA-1 gene=TTRE_0000246401,gnl|BL_ORD_ID|69356 ENSG00000241685|ARPC1A|ENST00000262942|PTHR10709,ARPC1A,ENST00000262942,ENSG00000241685,371,379.022,182,49.05660377,4.63E-130,PTHR10709,
TTRE_0000278501-mRNA-1 transcript=TTRE_0000278501-mRNA-1 gene=TTRE_0000278501,gnl|BL_ORD_ID|134878 ENSG00000139946|PELI2|ENST00000267460|PTHR12098,PELI2,ENST00000267460,ENSG00000139946,421,383.259,207,49.16864608,4.65E-130,PTHR12098,
TTRE_0000617501-mRNA-1 transcript=TTRE_0000617501-mRNA-1 gene=TTRE_0000617501,gnl|BL_ORD_ID|151906 ENSG00000178952|TUFM|ENST00000313511|PTHR23115_SF112,TUFM,ENST00000313511,ENSG00000178952,456,384.415,191,41.88596491,7.33E-130,PTHR23115,SF112
TTRE_0000788201-mRNA-1 transcript=TTRE_0000788201-mRNA-1 gene=TTRE_0000788201,gnl|BL_ORD_ID|147703 ENSG00000137857|DUOX1|ENST00000561166|PTHR11972_SF37,DUOX1,ENST00000561166,ENSG00000137857,1198,417.157,219,18.28046745,1.70E-129,PTHR11972,SF37
TTRE_0000021001-mRNA-1 transcript=TTRE_0000021001-mRNA-1 gene=TTRE_0000021001,gnl|BL_ORD_ID|159672 ENSG00000167965|MLST8|ENST00000565250|PTHR19842,MLST8,ENST00000565250,ENSG00000167965,327,372.474,172,52.59938838,8.42E-129,PTHR19842,
TTRE_0000320201-mRNA-1 transcript=TTRE_0000320201-mRNA-1 gene=TTRE_0000320201,gnl|BL_ORD_ID|7549 ENSG00000070831|CDC42|ENST00000662562|PTHR24072_SF129,CDC42,ENST00000662562,ENSG00000070831,192,356.681,172,89.58333333,3.66E-127,PTHR24072,SF129
TTRE_0000095501-mRNA-1 transcript=TTRE_0000095501-mRNA-1 gene=TTRE_0000095501,gnl|BL_ORD_ID|136134 ENSG00000100600|LGMN|ENST00000393218|PTHR12000_SF3,LGMN,ENST00000393218,ENSG00000100600,434,375.941,198,45.62211982,4.43E-127,PTHR12000,SF3
TTRE_0000936901-mRNA-1 transcript=TTRE_0000936901-mRNA-1 gene=TTRE_0000936901,gnl|BL_ORD_ID|55 ENSG00000126070|AGO3|ENST00000246314|PTHR22891_SF3,AGO3,ENST00000246314,ENSG00000126070,627,385.956,209,33.33333333,8.73E-127,PTHR22891,SF3
TTRE_0000797101-mRNA-1 transcript=TTRE_0000797101-mRNA-1 gene=TTRE_0000797101,gnl|BL_ORD_ID|16459 ENSG00000198925|ATG9A|ENST00000409033|PTHR13038,ATG9A,ENST00000409033,ENSG00000198925,529,373.629,185,34.97164461,8.75E-125,PTHR13038,
5430seq,gnl|BL_ORD_ID|151997 ENSG00000166851|PLK1|ENST00000300093|PTHR24345_SF0,PLK1,ENST00000300093,ENSG00000166851,604,368.622,180,29.8013245,5.45E-123,PTHR24345,SF0
TTRE_0000159301-mRNA-1 transcript=TTRE_0000159301-mRNA-1 gene=TTRE_0000159301,gnl|BL_ORD_ID|91639 ENSG00000160360|GPSM1|ENST00000440944|PTHR10098_SF36,GPSM1,ENST00000440944,ENSG00000160360,676,377.867,237,35.0591716,1.81E-122,PTHR10098,SF36
2198seq,gnl|BL_ORD_ID|175849 ENSG00000134759|ELP2|ENST00000351393|PTHR13729,ELP2,ENST00000351393,ENSG00000134759,801,384.415,245,30.58676654,3.41E-122,PTHR13729,
TTRE_0000315801-mRNA-1 transcript=TTRE_0000315801-mRNA-1 gene=TTRE_0000315801,gnl|BL_ORD_ID|138353 ENSG00000100697|DICER1|ENST00000526495|PTHR14950_SF3,DICER1,ENST00000526495,ENSG00000100697,1923,427.172,295,15.34061362,4.41E-122,PTHR14950,SF3
TTRE_0000280401-mRNA-1 transcript=TTRE_0000280401-mRNA-1 gene=TTRE_0000280401,gnl|BL_ORD_ID|16181 ENSG00000138448|ITGAV|ENST00000433736|PTHR23220_SF4,ITGAV,ENST00000433736,ENSG00000138448,1003,400.208,329,32.80159521,1.83E-121,PTHR23220,SF4
TTRE_0000171301-mRNA-1 transcript=TTRE_0000171301-mRNA-1 gene=TTRE_0000171301,gnl|BL_ORD_ID|157818 ENSG00000040199|PHLPP2|ENST00000568954|PTHR23155_SF16,PHLPP2,ENST00000568954,ENSG00000040199,1324,407.912,333,25.1510574,2.16E-120,PTHR23155,SF16
TTRE_0000401001-mRNA-1 transcript=TTRE_0000401001-mRNA-1 gene=TTRE_0000401001,gnl|BL_ORD_ID|74167 ENSG00000155849|ELMO1|ENST00000442504|PTHR12771_SF23,ELMO1,ENST00000442504,ENSG00000155849,728,376.326,235,32.28021978,2.09E-119,PTHR12771,SF23
TTRE_0000291101-mRNA-1 transcript=TTRE_0000291101-mRNA-1 gene=TTRE_0000291101,gnl|BL_ORD_ID|134989 ENSG00000165527|ARF6|ENST00000298316|PTHR11711_SF106,ARF6,ENST00000298316,ENSG00000165527,176,334.724,155,88.06818182,5.76E-119,PTHR11711,SF106
TTRE_0000784701-mRNA-1 transcript=TTRE_0000784701-mRNA-1 gene=TTRE_0000784701,gnl|BL_ORD_ID|89029 ENSG00000164733|CTSB|ENST00000533455|PTHR12411_SF285,CTSB,ENST00000533455,ENSG00000164733,340,345.51,159,46.76470588,2.46E-118,PTHR12411,SF285
TTRE_0000772201-mRNA-1 transcript=TTRE_0000772201-mRNA-1 gene=TTRE_0000772201,gnl|BL_ORD_ID|17840 ENSG00000144381|HSPD1|ENST00000430176|PTHR11353_SF75,HSPD1,ENST00000430176,ENSG00000144381,234,350.517,170,72.64957265,4.49E-118,PTHR11353,SF75
TTRE_0000044301-mRNA-1 transcript=TTRE_0000044301-mRNA-1 gene=TTRE_0000044301,gnl|BL_ORD_ID|69738 ENSG00000136238|RAC1|ENST00000348035|PTHR24072_SF107,RAC1,ENST00000348035,ENSG00000136238,193,334.339,164,84.97409326,1.39E-117,PTHR24072,SF107
TTRE_0000661901-mRNA-1 transcript=TTRE_0000661901-mRNA-1 gene=TTRE_0000661901,gnl|BL_ORD_ID|213498 ENSG00000215301|DDX3X|ENST00000644677|PTHR24031_SF195,DDX3X,ENST00000644677,ENSG00000215301,623,363.614,224,35.95505618,1.05E-114,PTHR24031,SF195
TTRE_0000432501-mRNA-1 transcript=TTRE_0000432501-mRNA-1 gene=TTRE_0000432501,gnl|BL_ORD_ID|118565 ENSG00000186298|PPP1CC|ENST00000335007|PTHR11668_SF207,PPP1CC,ENST00000335007,ENSG00000186298,324,335.495,156,48.14814815,2.11E-114,PTHR11668,SF207
TTRE_0000542401-mRNA-1 transcript=TTRE_0000542401-mRNA-1 gene=TTRE_0000542401,gnl|BL_ORD_ID|129111 ENSG00000186298|PPP1CC|ENST00000550991|PTHR11668_SF207,PPP1CC,ENST00000550991,ENSG00000186298,305,332.028,148,48.52459016,1.67E-113,PTHR11668,SF207
TTRE_0000762701-mRNA-1 transcript=TTRE_0000762701-mRNA-1 gene=TTRE_0000762701,gnl|BL_ORD_ID|151906 ENSG00000178952|TUFM|ENST00000313511|PTHR23115_SF112,TUFM,ENST00000313511,ENSG00000178952,456,331.643,159,34.86842105,1.96E-112,PTHR23115,SF112
TTRE_0000397901-mRNA-1 transcript=TTRE_0000397901-mRNA-1 gene=TTRE_0000397901,gnl|BL_ORD_ID|191625 ENSG00000099817|POLR2E|ENST00000612655|PTHR10535,POLR2E,ENST00000612655,ENSG00000099817,211,315.079,143,67.77251185,5.28E-110,PTHR10535,
TTRE_0000892501-mRNA-1 transcript=TTRE_0000892501-mRNA-1 gene=TTRE_0000892501,gnl|BL_ORD_ID|1586 ENSG00000079277|MKNK1|ENST00000371945|PTHR24349_SF101,MKNK1,ENST00000371945,ENSG00000079277,413,329.717,157,38.01452785,9.40E-110,PTHR24349,SF101
TTRE_0000271301-mRNA-1 transcript=TTRE_0000271301-mRNA-1 gene=TTRE_0000271301,gnl|BL_ORD_ID|160144 ENSG00000102974|CTCF|ENST00000643892|PTHR24375_SF123,CTCF,ENST00000643892,ENSG00000102974,639,338.191,158,24.72613459,1.54E-108,PTHR24375,SF123
TTRE_0000388201-mRNA-1 transcript=TTRE_0000388201-mRNA-1 gene=TTRE_0000388201,gnl|BL_ORD_ID|105246 ENSG00000172531|PPP1CA|ENST00000376745|PTHR11668_SF207,PPP1CA,ENST00000376745,ENSG00000172531,331,318.161,151,45.61933535,7.71E-108,PTHR11668,SF207
TTRE_0000810901-mRNA-1 transcript=TTRE_0000810901-mRNA-1 gene=TTRE_0000810901,gnl|BL_ORD_ID|25354 ENSG00000178035|IMPDH2|ENST00000326739|PTHR11911_SF64,IMPDH2,ENST00000326739,ENSG00000178035,515,329.331,193,37.47572816,4.55E-107,PTHR11911,SF64
TTRE_0000412901-mRNA-1 transcript=TTRE_0000412901-mRNA-1 gene=TTRE_0000412901,gnl|BL_ORD_ID|118565 ENSG00000186298|PPP1CC|ENST00000335007|PTHR11668_SF207,PPP1CC,ENST00000335007,ENSG00000186298,324,314.694,149,45.98765432,1.10E-106,PTHR11668,SF207
TTRE_0000820501-mRNA-1 transcript=TTRE_0000820501-mRNA-1 gene=TTRE_0000820501,gnl|BL_ORD_ID|129111 ENSG00000186298|PPP1CC|ENST00000550991|PTHR11668_SF207,PPP1CC,ENST00000550991,ENSG00000186298,305,313.153,154,50.49180328,2.47E-106,PTHR11668,SF207
TTRE_0000393201-mRNA-1 transcript=TTRE_0000393201-mRNA-1 gene=TTRE_0000393201,gnl|BL_ORD_ID|137594 ENSG00000100697|DICER1|ENST00000541352|PTHR14950_SF3,DICER1,ENST00000541352,ENSG00000100697,1830,370.933,319,17.43169399,2.02E-104,PTHR14950,SF3
TTRE_0000116801-mRNA-1 transcript=TTRE_0000116801-mRNA-1 gene=TTRE_0000116801,gnl|BL_ORD_ID|212934 ENSG00000215301|DDX3X|ENST00000642424|PTHR24031_SF195,DDX3X,ENST00000642424,ENSG00000215301,477,316.62,185,38.78406709,7.92E-103,PTHR24031,SF195
TTRE_0000585601-mRNA-1 transcript=TTRE_0000585601-mRNA-1 gene=TTRE_0000585601,gnl|BL_ORD_ID|36834 ENSG00000163517|HDAC11|ENST00000522202|PTHR10625_SF112,HDAC11,ENST00000522202,ENSG00000163517,297,304.679,152,51.17845118,1.78E-102,PTHR10625,SF112
TTRE_0000855901-mRNA-1 transcript=TTRE_0000855901-mRNA-1 gene=TTRE_0000855901,gnl|BL_ORD_ID|178544 ENSG00000141646|SMAD4|ENST00000588745|PTHR13703_SF33,SMAD4,ENST00000588745,ENSG00000141646,457,309.686,169,36.98030635,2.28E-102,PTHR13703,SF33
TTRE_0000177801-mRNA-1 transcript=TTRE_0000177801-mRNA-1 gene=TTRE_0000177801,gnl|BL_ORD_ID|118565 ENSG00000186298|PPP1CC|ENST00000335007|PTHR11668_SF207,PPP1CC,ENST00000335007,ENSG00000186298,324,303.523,137,42.28395062,2.35E-102,PTHR11668,SF207
TTRE_0000882201-mRNA-1 transcript=TTRE_0000882201-mRNA-1 gene=TTRE_0000882201,gnl|BL_ORD_ID|1153 ENSG00000126070|AGO3|ENST00000373191|PTHR22891_SF3,AGO3,ENST00000373191,ENSG00000126070,861,334.724,245,28.45528455,4.27E-102,PTHR22891,SF3
TTRE_0000803301-mRNA-1 transcript=TTRE_0000803301-mRNA-1 gene=TTRE_0000803301,gnl|BL_ORD_ID|59390 ENSG00000135341|MAP3K7|ENST00000369327|PTHR23257_SF348,MAP3K7,ENST00000369327,ENSG00000135341,492,312.383,164,33.33333333,2.52E-101,PTHR23257,SF348
TTRE_0000414701-mRNA-1 transcript=TTRE_0000414701-mRNA-1 gene=TTRE_0000414701,gnl|BL_ORD_ID|71423 ENSG00000087085|ACHE|ENST00000411582|PTHR11559_SF171,ACHE,ENST00000411582,ENSG00000087085,618,338.961,192,31.06796117,2.69E-101,PTHR11559,SF171
TTRE_0000419201-mRNA-1 transcript=TTRE_0000419201-mRNA-1 gene=TTRE_0000419201,gnl|BL_ORD_ID|48969 ENSG00000131508|UBE2D2|ENST00000398734|PTHR24068_SF48,UBE2D2,ENST00000398734,ENSG00000131508,148,287.345,135,91.21621622,4.38E-101,PTHR24068,SF48
TTRE_0000199601-mRNA-1 transcript=TTRE_0000199601-mRNA-1 gene=TTRE_0000199601,gnl|BL_ORD_ID|89561 ENSG00000135047|CTSL|ENST00000343150|PTHR12411_SF306,CTSL,ENST00000343150,ENSG00000135047,334,298.516,146,43.71257485,6.81E-101,PTHR12411,SF306
TTRE_0000875601-mRNA-1 transcript=TTRE_0000875601-mRNA-1 gene=TTRE_0000875601,gnl|BL_ORD_ID|69136 ENSG00000105835|NAMPT|ENST00000222553|PTHR11098,NAMPT,ENST00000222553,ENSG00000105835,492,305.064,153,31.09756098,8.76E-101,PTHR11098,
TTRE_0000376201-mRNA-1 transcript=TTRE_0000376201-mRNA-1 gene=TTRE_0000376201,gnl|BL_ORD_ID|58708 ENSG00000047932|GOPC|ENST00000052569|PTHR16528,GOPC,ENST00000052569,ENSG00000047932,455,305.449,171,37.58241758,3.97E-100,PTHR16528,
TTRE_0000242201-mRNA-1 transcript=TTRE_0000242201-mRNA-1 gene=TTRE_0000242201,gnl|BL_ORD_ID|14023 ENSG00000178568|ERBB4|ENST00000260943|PTHR24416_SF90,ERBB4,ENST00000260943,ENSG00000178568,731,334.339,223,30.50615595,4.18E-100,PTHR24416,SF90
1377seq,gnl|BL_ORD_ID|211427 ENSG00000068308|OTUD5|ENST00000610466|PTHR12419_SF4,OTUD5,ENST00000610466,ENSG00000068308,543,308.531,142,26.15101289,1.33E-99,PTHR12419,SF4
TTRE_0000652501-mRNA-1 transcript=TTRE_0000652501-mRNA-1 gene=TTRE_0000652501,gnl|BL_ORD_ID|105246 ENSG00000172531|PPP1CA|ENST00000376745|PTHR11668_SF207,PPP1CA,ENST00000376745,ENSG00000172531,331,295.434,136,41.08761329,1.07E-98,PTHR11668,SF207
TTRE_0000108801-mRNA-1 transcript=TTRE_0000108801-mRNA-1 gene=TTRE_0000108801,gnl|BL_ORD_ID|69738 ENSG00000136238|RAC1|ENST00000348035|PTHR24072_SF107,RAC1,ENST00000348035,ENSG00000136238,193,284.263,133,68.9119171,2.96E-98,PTHR24072,SF107
TTRE_0000517401-mRNA-1 transcript=TTRE_0000517401-mRNA-1 gene=TTRE_0000517401,gnl|BL_ORD_ID|192318 ENSG00000160014|CALM3|ENST00000596362|PTHR23050_SF155,CALM3,ENST00000596362,ENSG00000160014,150,280.796,139,92.66666667,3.47E-98,PTHR23050,SF155
3783seq,gnl|BL_ORD_ID|97717 ENSG00000171862|PTEN|ENST00000371953|PTHR12305_SF32,PTEN,ENST00000371953,ENSG00000171862,404,291.967,136,33.66336634,4.96E-98,PTHR12305,SF32
TTRE_0000358901-mRNA-1 transcript=TTRE_0000358901-mRNA-1 gene=TTRE_0000358901,gnl|BL_ORD_ID|89029 ENSG00000164733|CTSB|ENST00000533455|PTHR12411_SF285,CTSB,ENST00000533455,ENSG00000164733,340,291.582,130,38.23529412,5.98E-98,PTHR12411,SF285
TTRE_0000235601-mRNA-1 transcript=TTRE_0000235601-mRNA-1 gene=TTRE_0000235601,gnl|BL_ORD_ID|172693 ENSG00000177885|GRB2|ENST00000648046|PTHR22820_SF27,GRB2,ENST00000648046,ENSG00000177885,218,282.337,144,66.05504587,1.34E-96,PTHR22820,SF27
TTRE_0000818301-mRNA-1 transcript=TTRE_0000818301-mRNA-1 gene=TTRE_0000818301,gnl|BL_ORD_ID|65858 ENSG00000096384|HSP90AB1|ENST00000620073|PTHR11528,HSP90AB1,ENST00000620073,ENSG00000096384,725,308.916,195,26.89655172,1.41E-96,PTHR11528,
TTRE_0000204701-mRNA-1 transcript=TTRE_0000204701-mRNA-1 gene=TTRE_0000204701,gnl|BL_ORD_ID|203177 ENSG00000184381|PLA2G6|ENST00000402064|PTHR24139_SF27,PLA2G6,ENST00000402064,ENSG00000184381,753,329.717,238,31.60690571,4.24E-96,PTHR24139,SF27
TTRE_0000691201-mRNA-1 transcript=TTRE_0000691201-mRNA-1 gene=TTRE_0000691201,gnl|BL_ORD_ID|173758 ENSG00000126581|BECN1|ENST00000590099|PTHR12768,BECN1,ENST00000590099,ENSG00000126581,451,291.197,160,35.4767184,2.70E-94,PTHR12768,
TTRE_0000491501-mRNA-1 transcript=TTRE_0000491501-mRNA-1 gene=TTRE_0000491501,gnl|BL_ORD_ID|194249 ENSG00000101182|PSMA7|ENST00000370873|PTHR11599_SF40,PSMA7,ENST00000370873,ENSG00000101182,249,275.789,127,51.00401606,4.26E-93,PTHR11599,SF40
TTRE_0000514801-mRNA-1 transcript=TTRE_0000514801-mRNA-1 gene=TTRE_0000514801,gnl|BL_ORD_ID|18251 ENSG00000221823|PPP3R1|ENST00000409377|PTHR23056_SF23,PPP3R1,ENST00000409377,ENSG00000221823,161,267.314,130,80.74534161,1.17E-92,PTHR23056,SF23
TTRE_0000266201-mRNA-1 transcript=TTRE_0000266201-mRNA-1 gene=TTRE_0000266201,gnl|BL_ORD_ID|51935 ENSG00000145555|MYO10|ENST00000513882|PTHR13140_SF276,MYO10,ENST00000513882,ENSG00000145555,830,317.005,201,24.21686747,3.35E-92,PTHR13140,SF276
TTRE_0000116601-mRNA-1 transcript=TTRE_0000116601-mRNA-1 gene=TTRE_0000116601,gnl|BL_ORD_ID|55 ENSG00000126070|AGO3|ENST00000246314|PTHR22891_SF3,AGO3,ENST00000246314,ENSG00000126070,627,301.212,214,34.1307815,1.67E-91,PTHR22891,SF3
2884seq,gnl|BL_ORD_ID|151997 ENSG00000166851|PLK1|ENST00000300093|PTHR24345_SF0,PLK1,ENST00000300093,ENSG00000166851,604,280.411,128,21.19205298,4.85E-91,PTHR24345,SF0
TTRE_0000546801-mRNA-1 transcript=TTRE_0000546801-mRNA-1 gene=TTRE_0000546801,gnl|BL_ORD_ID|25683 ENSG00000241553|ARPC4|ENST00000397261|PTHR22629,ARPC4,ENST00000397261,ENSG00000241553,169,263.077,125,73.96449704,9.01E-91,PTHR22629,
TTRE_0000649101-mRNA-1 transcript=TTRE_0000649101-mRNA-1 gene=TTRE_0000649101,gnl|BL_ORD_ID|107455 ENSG00000025434|NR1H3|ENST00000395397|PTHR24082_SF259,NR1H3,ENST00000395397,ENSG00000025434,403,290.812,159,39.45409429,1.80E-90,PTHR24082,SF259
TTRE_0000912101-mRNA-1 transcript=TTRE_0000912101-mRNA-1 gene=TTRE_0000912101,gnl|BL_ORD_ID|162294 ENSG00000072818|ACAP1|ENST00000158762|PTHR23180_SF197,ACAP1,ENST00000158762,ENSG00000072818,741,291.967,217,29.28475034,6.17E-89,PTHR23180,SF197
TTRE_0000688401-mRNA-1 transcript=TTRE_0000688401-mRNA-1 gene=TTRE_0000688401,gnl|BL_ORD_ID|151793 ENSG00000162104|ADCY9|ENST00000294016|PTHR11920_SF272,ADCY9,ENST00000294016,ENSG00000162104,1354,303.908,203,14.99261448,9.97E-89,PTHR11920,SF272
TTRE_0000618501-mRNA-1 transcript=TTRE_0000618501-mRNA-1 gene=TTRE_0000618501,gnl|BL_ORD_ID|89029 ENSG00000164733|CTSB|ENST00000533455|PTHR12411_SF285,CTSB,ENST00000533455,ENSG00000164733,340,269.626,138,40.58823529,4.87E-88,PTHR12411,SF285
TTRE_0000790101-mRNA-1 transcript=TTRE_0000790101-mRNA-1 gene=TTRE_0000790101,gnl|BL_ORD_ID|118863 ENSG00000177889|UBE2N|ENST00000318066|PTHR24067_SF79,UBE2N,ENST00000318066,ENSG00000177889,153,253.447,119,77.77777778,1.56E-87,PTHR24067,SF79
TTRE_0000031901-mRNA-1 transcript=TTRE_0000031901-mRNA-1 gene=TTRE_0000031901,gnl|BL_ORD_ID|118802 ENSG00000133703|KRAS|ENST00000311936|PTHR24070_SF186,KRAS,ENST00000311936,ENSG00000133703,189,253.447,131,69.31216931,1.07E-85,PTHR24070,SF186
TTRE_0000662001-mRNA-1 transcript=TTRE_0000662001-mRNA-1 gene=TTRE_0000662001,gnl|BL_ORD_ID|137594 ENSG00000100697|DICER1|ENST00000541352|PTHR14950_SF3,DICER1,ENST00000541352,ENSG00000100697,1830,296.59,238,13.00546448,1.14E-85,PTHR14950,SF3
TTRE_0000147401-mRNA-1 transcript=TTRE_0000147401-mRNA-1 gene=TTRE_0000147401,gnl|BL_ORD_ID|162181 ENSG00000103197|TSC2|ENST00000644335|PTHR10063,TSC2,ENST00000644335,ENSG00000103197,1740,310.842,241,13.85057471,2.36E-85,PTHR10063,
TTRE_0000319801-mRNA-1 transcript=TTRE_0000319801-mRNA-1 gene=TTRE_0000319801,gnl|BL_ORD_ID|98316 ENSG00000096717|SIRT1|ENST00000432464|PTHR11085_SF15,SIRT1,ENST00000432464,ENSG00000096717,453,269.24,126,27.81456954,5.65E-85,PTHR11085,SF15
168,gnl|BL_ORD_ID|16197 ENSG00000198925|ATG9A|ENST00000409422|PTHR13038,ATG9A,ENST00000409422,ENSG00000198925,779,275.404,158,20.28241335,8.24E-85,PTHR13038,
TTRE_0000029301-mRNA-1 transcript=TTRE_0000029301-mRNA-1 gene=TTRE_0000029301,gnl|BL_ORD_ID|72073 ENSG00000080802|CNOT4|ENST00000414802|PTHR12603_SF2,CNOT4,ENST00000414802,ENSG00000080802,434,271.552,117,26.95852535,8.56E-85,PTHR12603,SF2
TTRE_0000461701-mRNA-1 transcript=TTRE_0000461701-mRNA-1 gene=TTRE_0000461701,gnl|BL_ORD_ID|199397 ENSG00000160179|ABCG1|ENST00000361802|PTHR19241_SF177,ABCG1,ENST00000361802,ENSG00000160179,679,280.411,187,27.54050074,1.11E-84,PTHR19241,SF177
TTRE_0000169701-mRNA-1 transcript=TTRE_0000169701-mRNA-1 gene=TTRE_0000169701,gnl|BL_ORD_ID|120122 ENSG00000177119|ANO6|ENST00000441606|PTHR12308_SF21,ANO6,ENST00000441606,ENSG00000177119,893,276.174,190,21.27659574,3.04E-82,PTHR12308,SF21
TTRE_0000097901-mRNA-1 transcript=TTRE_0000097901-mRNA-1 gene=TTRE_0000097901,gnl|BL_ORD_ID|162343 ENSG00000108298|RPL19|ENST00000225430|PTHR10722,RPL19,ENST00000225430,ENSG00000108298,197,242.662,133,67.51269036,6.50E-82,PTHR10722,
TTRE_0000032801-mRNA-1 transcript=TTRE_0000032801-mRNA-1 gene=TTRE_0000032801,gnl|BL_ORD_ID|105246 ENSG00000172531|PPP1CA|ENST00000376745|PTHR11668_SF207,PPP1CA,ENST00000376745,ENSG00000172531,331,253.062,132,39.87915408,7.70E-82,PTHR11668,SF207
TTRE_0000057001-mRNA-1 transcript=TTRE_0000057001-mRNA-1 gene=TTRE_0000057001,gnl|BL_ORD_ID|158570 ENSG00000103266|STUB1|ENST00000564370|PTHR22904_SF305,STUB1,ENST00000564370,ENSG00000103266,232,245.358,129,55.60344828,4.01E-81,PTHR22904,SF305
TTRE_0000272501-mRNA-1 transcript=TTRE_0000272501-mRNA-1 gene=TTRE_0000272501,gnl|BL_ORD_ID|206826 ENSG00000184381|PLA2G6|ENST00000667521|PTHR24139_SF27,PLA2G6,ENST00000667521,ENSG00000184381,807,273.863,204,25.27881041,1.16E-80,PTHR24139,SF27
TTRE_0000930701-mRNA-1 transcript=TTRE_0000930701-mRNA-1 gene=TTRE_0000930701,gnl|BL_ORD_ID|144004 ENSG00000140279|DUOX2|ENST00000389039|PTHR11972_SF53,DUOX2,ENST00000389039,ENSG00000140279,1549,270.781,160,10.32924467,2.65E-80,PTHR11972,SF53
TTRE_0000186401-mRNA-1 transcript=TTRE_0000186401-mRNA-1 gene=TTRE_0000186401,gnl|BL_ORD_ID|192290 ENSG00000221983|UBA52|ENST00000596273|PTHR10666_SF93,UBA52,ENST00000596273,ENSG00000221983,129,232.646,115,89.14728682,4.36E-80,PTHR10666,SF93
TTRE_0000978901-mRNA-1 transcript=TTRE_0000978901-mRNA-1 gene=TTRE_0000978901,gnl|BL_ORD_ID|55 ENSG00000126070|AGO3|ENST00000246314|PTHR22891_SF3,AGO3,ENST00000246314,ENSG00000126070,627,257.684,154,24.56140351,4.47E-80,PTHR22891,SF3
TTRE_0000750301-mRNA-1 transcript=TTRE_0000750301-mRNA-1 gene=TTRE_0000750301,gnl|BL_ORD_ID|129111 ENSG00000186298|PPP1CC|ENST00000550991|PTHR11668_SF207,PPP1CC,ENST00000550991,ENSG00000186298,305,247.284,118,38.68852459,1.04E-79,PTHR11668,SF207
TTRE_0000191901-mRNA-1 transcript=TTRE_0000191901-mRNA-1 gene=TTRE_0000191901,gnl|BL_ORD_ID|61078 ENSG00000096063|SRPK1|ENST00000423325|PTHR24055_SF101,SRPK1,ENST00000423325,ENSG00000096063,640,259.61,122,19.0625,1.34E-79,PTHR24055,SF101
TTRE_0000366001-mRNA-1 transcript=TTRE_0000366001-mRNA-1 gene=TTRE_0000366001,gnl|BL_ORD_ID|204349 ENSG00000196419|XRCC6|ENST00000428575|PTHR12604,XRCC6,ENST00000428575,ENSG00000196419,560,260.381,175,31.25,2.05E-79,PTHR12604,
