query,hit identifier,gene,transcript,ensembl,length,bits,identities,percent_identity,e value,ensemblfamily,subfamily
TTRE_0000262401-mRNA-1 transcript=TTRE_0000262401-mRNA-1 gene=TTRE_0000262401,gnl|BL_ORD_ID|81439 ENSG00000164741|DLC1|ENST00000520226|PTHR12659,DLC1,ENST00000520226,ENSG00000164741,1018,375.555,206,20.23575639,3.72E-119,PTHR12659,
TTRE_0000595601-mRNA-1 transcript=TTRE_0000595601-mRNA-1 gene=TTRE_0000595601,gnl|BL_ORD_ID|162467 ENSG00000108344|PSMD3|ENST00000264639|PTHR10758,PSMD3,ENST00000264639,ENSG00000108344,535,359.762,203,37.94392523,4.04E-119,PTHR10758,
TTRE_0000574701-mRNA-1 transcript=TTRE_0000574701-mRNA-1 gene=TTRE_0000574701,gnl|BL_ORD_ID|1007 ENSG00000117114|ADGRL2|ENST00000370713|PTHR12011_SF61,ADGRL2,ENST00000370713,ENSG00000117114,1124,396.356,224,19.92882562,4.06E-119,PTHR12011,SF61
TTRE_0000745101-mRNA-1 transcript=TTRE_0000745101-mRNA-1 gene=TTRE_0000745101,gnl|BL_ORD_ID|91789 ENSG00000137154|RPS6|ENST00000380394|PTHR11502,RPS6,ENST00000380394,ENSG00000137154,250,339.732,166,66.4,4.98E-119,PTHR11502,
TTRE_0000291101-mRNA-1 transcript=TTRE_0000291101-mRNA-1 gene=TTRE_0000291101,gnl|BL_ORD_ID|134989 ENSG00000165527|ARF6|ENST00000298316|PTHR11711_SF106,ARF6,ENST00000298316,ENSG00000165527,176,334.724,155,88.06818182,5.76E-119,PTHR11711,SF106
TTRE_0000049201-mRNA-1 transcript=TTRE_0000049201-mRNA-1 gene=TTRE_0000049201,gnl|BL_ORD_ID|159777 ENSG00000103356|EARS2|ENST00000563459|PTHR10119_SF1,EARS2,ENST00000563459,ENSG00000103356,524,360.918,206,39.3129771,7.16E-119,PTHR10119,SF1
TTRE_0000623401-mRNA-1 transcript=TTRE_0000623401-mRNA-1 gene=TTRE_0000623401,gnl|BL_ORD_ID|8233 ENSG00000116191|RALGPS2|ENST00000367634|PTHR23113_SF180,RALGPS2,ENST00000367634,ENSG00000116191,558,365.155,220,39.4265233,8.95E-119,PTHR23113,SF180
TTRE_0000433701-mRNA-1 transcript=TTRE_0000433701-mRNA-1 gene=TTRE_0000433701,gnl|BL_ORD_ID|96771 ENSG00000108091|CCDC6|ENST00000263102|PTHR15276,CCDC6,ENST00000263102,ENSG00000108091,475,355.91,217,45.68421053,1.11E-118,PTHR15276,
TTRE_0000172801-mRNA-1 transcript=TTRE_0000172801-mRNA-1 gene=TTRE_0000172801,gnl|BL_ORD_ID|202069 ENSG00000099992|TBC1D10A|ENST00000215790|PTHR22957_SF257,TBC1D10A,ENST00000215790,ENSG00000099992,509,355.91,176,34.57760314,1.16E-118,PTHR22957,SF257
TTRE_0000480201-mRNA-1 transcript=TTRE_0000480201-mRNA-1 gene=TTRE_0000480201,gnl|BL_ORD_ID|51183 ENSG00000131446|MGAT1|ENST00000446023|PTHR10468,MGAT1,ENST00000446023,ENSG00000131446,446,353.984,200,44.84304933,1.60E-118,PTHR10468,
TTRE_0000784701-mRNA-1 transcript=TTRE_0000784701-mRNA-1 gene=TTRE_0000784701,gnl|BL_ORD_ID|89029 ENSG00000164733|CTSB|ENST00000533455|PTHR12411_SF285,CTSB,ENST00000533455,ENSG00000164733,340,345.51,159,46.76470588,2.46E-118,PTHR12411,SF285
TTRE_0000650101-mRNA-1 transcript=TTRE_0000650101-mRNA-1 gene=TTRE_0000650101,gnl|BL_ORD_ID|59716 ENSG00000119899|SLC17A5|ENST00000355773|PTHR11662_SF189,SLC17A5,ENST00000355773,ENSG00000119899,496,355.14,179,36.08870968,2.53E-118,PTHR11662,SF189
TTRE_0000224901-mRNA-1 transcript=TTRE_0000224901-mRNA-1 gene=TTRE_0000224901,gnl|BL_ORD_ID|151753 ENSG00000168872|DDX19A|ENST00000302243|PTHR24031_SF194,DDX19A,ENST00000302243,ENSG00000168872,479,355.525,166,34.65553236,2.67E-118,PTHR24031,SF194
TTRE_0000183301-mRNA-1 transcript=TTRE_0000183301-mRNA-1 gene=TTRE_0000183301,gnl|BL_ORD_ID|22216 ENSG00000115641|FHL2|ENST00000530340|PTHR24205,FHL2,ENST00000530340,ENSG00000115641,280,344.354,153,54.64285714,2.84E-118,PTHR24205,
TTRE_0000839301-mRNA-1 transcript=TTRE_0000839301-mRNA-1 gene=TTRE_0000839301,gnl|BL_ORD_ID|45045 ENSG00000145425|RPS3A|ENST00000510993|TF629374,RPS3A,ENST00000510993,ENSG00000145425,223,338.576,153,68.60986547,3.46E-118,TF629374,
TTRE_0000566201-mRNA-1 transcript=TTRE_0000566201-mRNA-1 gene=TTRE_0000566201,gnl|BL_ORD_ID|163109 ENSG00000167291|TBC1D16|ENST00000340848|PTHR22957_SF191,TBC1D16,ENST00000340848,ENSG00000167291,406,361.303,184,45.32019704,3.61E-118,PTHR22957,SF191
TTRE_0000772701-mRNA-1 transcript=TTRE_0000772701-mRNA-1 gene=TTRE_0000772701,gnl|BL_ORD_ID|13436 ENSG00000143761|ARF1|ENST00000540651|PTHR11711_SF118,ARF1,ENST00000540651,ENSG00000143761,182,354.755,167,91.75824176,3.67E-118,PTHR11711,SF118
TTRE_0000649001-mRNA-1 transcript=TTRE_0000649001-mRNA-1 gene=TTRE_0000649001,gnl|BL_ORD_ID|124570 ENSG00000060982|BCAT1|ENST00000538118|PTHR11825,BCAT1,ENST00000538118,ENSG00000060982,386,349.362,176,45.59585492,4.15E-118,PTHR11825,
TTRE_0000147701-mRNA-1 transcript=TTRE_0000147701-mRNA-1 gene=TTRE_0000147701,gnl|BL_ORD_ID|158147 ENSG00000102967|DHODH|ENST00000572887|PTHR11938_SF7,DHODH,ENST00000572887,ENSG00000102967,394,350.517,184,46.70050761,4.19E-118,PTHR11938,SF7
TTRE_0000772201-mRNA-1 transcript=TTRE_0000772201-mRNA-1 gene=TTRE_0000772201,gnl|BL_ORD_ID|17840 ENSG00000144381|HSPD1|ENST00000430176|PTHR11353_SF75,HSPD1,ENST00000430176,ENSG00000144381,234,350.517,170,72.64957265,4.49E-118,PTHR11353,SF75
TTRE_0000503701-mRNA-1 transcript=TTRE_0000503701-mRNA-1 gene=TTRE_0000503701,gnl|BL_ORD_ID|34042 ENSG00000114251|WNT5A|ENST00000497027|PTHR12027_SF33,WNT5A,ENST00000497027,ENSG00000114251,366,346.665,160,43.71584699,5.74E-118,PTHR12027,SF33
TTRE_0000439301-mRNA-1 transcript=TTRE_0000439301-mRNA-1 gene=TTRE_0000439301,gnl|BL_ORD_ID|197710 ENSG00000158296|SLC13A3|ENST00000495082|PTHR10283,SLC13A3,ENST00000495082,ENSG00000158296,556,362.844,212,38.1294964,8.42E-118,PTHR10283,
TTRE_0000183901-mRNA-1 transcript=TTRE_0000183901-mRNA-1 gene=TTRE_0000183901,gnl|BL_ORD_ID|29374 ENSG00000163785|RYK|ENST00000460933|PTHR24416_SF256,RYK,ENST00000460933,ENSG00000163785,549,361.688,215,39.16211293,1.07E-117,PTHR24416,SF256
TTRE_0000127701-mRNA-1 transcript=TTRE_0000127701-mRNA-1 gene=TTRE_0000127701,gnl|BL_ORD_ID|104782 ENSG00000174903|RAB1B|ENST00000311481|PTHR24073_SF455,RAB1B,ENST00000311481,ENSG00000174903,202,333.954,160,79.20792079,1.24E-117,PTHR24073,SF455
TTRE_0000251801-mRNA-1 transcript=TTRE_0000251801-mRNA-1 gene=TTRE_0000251801,gnl|BL_ORD_ID|115710 ENSG00000262655|SPON1|ENST00000576479|PTHR11311_SF6,SPON1,ENST00000576479,ENSG00000262655,808,377.096,265,32.7970297,1.25E-117,PTHR11311,SF6
TTRE_0000044301-mRNA-1 transcript=TTRE_0000044301-mRNA-1 gene=TTRE_0000044301,gnl|BL_ORD_ID|69738 ENSG00000136238|RAC1|ENST00000348035|PTHR24072_SF107,RAC1,ENST00000348035,ENSG00000136238,193,334.339,164,84.97409326,1.39E-117,PTHR24072,SF107
TTRE_0000270801-mRNA-1 transcript=TTRE_0000270801-mRNA-1 gene=TTRE_0000270801,gnl|BL_ORD_ID|64048 ENSG00000065609|SNAP91|ENST00000521931|PTHR22951,SNAP91,ENST00000521931,ENSG00000065609,582,352.829,172,29.5532646,1.63E-117,PTHR22951,
TTRE_0000505401-mRNA-1 transcript=TTRE_0000505401-mRNA-1 gene=TTRE_0000505401,gnl|BL_ORD_ID|176258 ENSG00000154864|PIEZO2|ENST00000383408|PTHR13167_SF24,PIEZO2,ENST00000383408,ENSG00000154864,2704,416.001,285,10.53994083,1.97E-117,PTHR13167,SF24
TTRE_0000816101-mRNA-1 transcript=TTRE_0000816101-mRNA-1 gene=TTRE_0000816101,gnl|BL_ORD_ID|69096 ENSG00000004059|ARF5|ENST00000000233|PTHR11711_SF153,ARF5,ENST00000000233,ENSG00000004059,181,331.257,156,86.1878453,2.47E-117,PTHR11711,SF153
TTRE_0000197501-mRNA-1 transcript=TTRE_0000197501-mRNA-1 gene=TTRE_0000197501,gnl|BL_ORD_ID|24510 ENSG00000125037|EMC3|ENST00000245046|PTHR13116,EMC3,ENST00000245046,ENSG00000125037,262,336.65,154,58.77862595,3.19E-117,PTHR13116,
TTRE_0000320501-mRNA-1 transcript=TTRE_0000320501-mRNA-1 gene=TTRE_0000320501,gnl|BL_ORD_ID|88806 ENSG00000169427|KCNK9|ENST00000650269|PTHR11003_SF75,KCNK9,ENST00000650269,ENSG00000169427,375,346.665,166,44.26666667,3.27E-117,PTHR11003,SF75
TTRE_0000469601-mRNA-1 transcript=TTRE_0000469601-mRNA-1 gene=TTRE_0000469601,gnl|BL_ORD_ID|39685 ENSG00000090989|EXOC1|ENST00000349598|PTHR16092_SF19,EXOC1,ENST00000349598,ENSG00000090989,880,380.563,275,31.25,3.52E-117,PTHR16092,SF19
TTRE_0000437801-mRNA-1 transcript=TTRE_0000437801-mRNA-1 gene=TTRE_0000437801,gnl|BL_ORD_ID|202528 ENSG00000196236|XPNPEP3|ENST00000357137|PTHR10804_SF17,XPNPEP3,ENST00000357137,ENSG00000196236,508,359.377,197,38.77952756,9.69E-117,PTHR10804,SF17
TTRE_0000698701-mRNA-1 transcript=TTRE_0000698701-mRNA-1 gene=TTRE_0000698701,gnl|BL_ORD_ID|206984 ENSG00000068438|FTSJ1|ENST00000019019|PTHR10920_SF12,FTSJ1,ENST00000019019,ENSG00000068438,328,342.428,175,53.35365854,1.08E-116,PTHR10920,SF12
TTRE_0000251601-mRNA-1 transcript=TTRE_0000251601-mRNA-1 gene=TTRE_0000251601,gnl|BL_ORD_ID|11589 ENSG00000143437|ARNT|ENST00000505755|PTHR23042_SF50,ARNT,ENST00000505755,ENSG00000143437,775,364.385,190,24.51612903,1.28E-116,PTHR23042,SF50
TTRE_0000118001-mRNA-1 transcript=TTRE_0000118001-mRNA-1 gene=TTRE_0000118001,gnl|BL_ORD_ID|59886 ENSG00000025039|RRAGD|ENST00000359203|PTHR11259,RRAGD,ENST00000359203,ENSG00000025039,250,341.273,160,64,1.39E-116,PTHR11259,
TTRE_0000069501-mRNA-1 transcript=TTRE_0000069501-mRNA-1 gene=TTRE_0000069501,gnl|BL_ORD_ID|89797 ENSG00000135049|AGTPBP1|ENST00000376083|PTHR12756_SF2,AGTPBP1,ENST00000376083,ENSG00000135049,1187,387.497,213,17.94439764,1.43E-116,PTHR12756,SF2
TTRE_0000251201-mRNA-1 transcript=TTRE_0000251201-mRNA-1 gene=TTRE_0000251201,gnl|BL_ORD_ID|87978 ENSG00000104763|ASAH1|ENST00000637790|TF313219,ASAH1,ENST00000637790,ENSG00000104763,396,346.28,163,41.16161616,1.48E-116,TF313219,
TTRE_0000408701-mRNA-1 transcript=TTRE_0000408701-mRNA-1 gene=TTRE_0000408701,gnl|BL_ORD_ID|14502 ENSG00000163093|BBS5|ENST00000295240|PTHR21351,BBS5,ENST00000295240,ENSG00000163093,342,342.043,164,47.95321637,2.18E-116,PTHR21351,
TTRE_0000127801-mRNA-1 transcript=TTRE_0000127801-mRNA-1 gene=TTRE_0000127801,gnl|BL_ORD_ID|134713 ENSG00000100767|PAPLN|ENST00000216658|PTHR13723_SF20,PAPLN,ENST00000216658,ENSG00000100767,809,391.734,265,32.75648949,2.29E-116,PTHR13723,SF20
TTRE_0000694201-mRNA-1 transcript=TTRE_0000694201-mRNA-1 gene=TTRE_0000694201,gnl|BL_ORD_ID|193654 ENSG00000039650|PNKP|ENST00000596014|PTHR12083,PNKP,ENST00000596014,ENSG00000039650,522,353.984,201,38.50574713,2.38E-116,PTHR12083,
TTRE_0000162001-mRNA-1 transcript=TTRE_0000162001-mRNA-1 gene=TTRE_0000162001,gnl|BL_ORD_ID|99718 ENSG00000214655|ZSWIM8|ENST00000433366|PTHR22619_SF1,ZSWIM8,ENST00000433366,ENSG00000214655,1337,403.29,234,17.50186986,2.61E-116,PTHR22619,SF1
TTRE_0000307001-mRNA-1 transcript=TTRE_0000307001-mRNA-1 gene=TTRE_0000307001,gnl|BL_ORD_ID|123838 ENSG00000127314|RAP1B|ENST00000537460|PTHR24070_SF224,RAP1B,ENST00000537460,ENSG00000127314,185,328.561,161,87.02702703,3.75E-116,PTHR24070,SF224
TTRE_0000886301-mRNA-1 transcript=TTRE_0000886301-mRNA-1 gene=TTRE_0000886301,gnl|BL_ORD_ID|25419 ENSG00000036054|TBC1D23|ENST00000344949|PTHR13297,TBC1D23,ENST00000344949,ENSG00000036054,685,362.844,210,30.65693431,4.82E-116,PTHR13297,
TTRE_0000209601-mRNA-1 transcript=TTRE_0000209601-mRNA-1 gene=TTRE_0000209601,gnl|BL_ORD_ID|97571 ENSG00000127884|ECHS1|ENST00000368547|PTHR11941_SF24,ECHS1,ENST00000368547,ENSG00000127884,291,336.65,159,54.63917526,5.33E-116,PTHR11941,SF24
TTRE_0000362101-mRNA-1 transcript=TTRE_0000362101-mRNA-1 gene=TTRE_0000362101,gnl|BL_ORD_ID|136407 ENSG00000100554|ATP6V1D|ENST00000554087|PTHR11671,ATP6V1D,ENST00000554087,ENSG00000100554,248,333.183,159,64.11290323,6.05E-116,PTHR11671,
TTRE_0000910301-mRNA-1 transcript=TTRE_0000910301-mRNA-1 gene=TTRE_0000910301,gnl|BL_ORD_ID|54699 ENSG00000113552|GNPDA1|ENST00000513454|PTHR11280,GNPDA1,ENST00000513454,ENSG00000113552,275,334.724,156,56.72727273,6.12E-116,PTHR11280,
TTRE_0000531501-mRNA-1 transcript=TTRE_0000531501-mRNA-1 gene=TTRE_0000531501,gnl|BL_ORD_ID|183680 ENSG00000105223|PLD3|ENST00000409735|PTHR10185,PLD3,ENST00000409735,ENSG00000105223,491,351.673,176,35.84521385,6.93E-116,PTHR10185,
TTRE_0000531201-mRNA-1 transcript=TTRE_0000531201-mRNA-1 gene=TTRE_0000531201,gnl|BL_ORD_ID|40689 ENSG00000138686|BBS7|ENST00000506636|PTHR16074,BBS7,ENST00000506636,ENSG00000138686,673,363.614,225,33.43239227,7.76E-116,PTHR16074,
TTRE_0000056101-mRNA-1 transcript=TTRE_0000056101-mRNA-1 gene=TTRE_0000056101,gnl|BL_ORD_ID|1927 ENSG00000158014|SLC30A2|ENST00000374276|PTHR11562_SF30,SLC30A2,ENST00000374276,ENSG00000158014,373,342.428,168,45.04021448,9.23E-116,PTHR11562,SF30
TTRE_0000236201-mRNA-1 transcript=TTRE_0000236201-mRNA-1 gene=TTRE_0000236201,gnl|BL_ORD_ID|106598 ENSG00000109917|ZPR1|ENST00000444935|PTHR10876_SF0,ZPR1,ENST00000444935,ENSG00000109917,431,346.28,187,43.387471,1.22E-115,PTHR10876,SF0
TTRE_0000592601-mRNA-1 transcript=TTRE_0000592601-mRNA-1 gene=TTRE_0000592601,gnl|BL_ORD_ID|31690 ENSG00000163918|RFC4|ENST00000433496|PTHR11669_SF7,RFC4,ENST00000433496,ENSG00000163918,337,339.732,178,52.8189911,1.51E-115,PTHR11669,SF7
TTRE_0000247401-mRNA-1 transcript=TTRE_0000247401-mRNA-1 gene=TTRE_0000247401,gnl|BL_ORD_ID|135446 ENSG00000087299|L2HGDH|ENST00000421284|PTHR13847_SF171,L2HGDH,ENST00000421284,ENSG00000087299,464,345.895,198,42.67241379,1.52E-115,PTHR13847,SF171
TTRE_0000272001-mRNA-1 transcript=TTRE_0000272001-mRNA-1 gene=TTRE_0000272001,gnl|BL_ORD_ID|114945 ENSG00000166833|NAV2|ENST00000533917|PTHR12784_SF6,NAV2,ENST00000533917,ENSG00000166833,1494,405.601,279,18.6746988,1.53E-115,PTHR12784,SF6
TTRE_0000657801-mRNA-1 transcript=TTRE_0000657801-mRNA-1 gene=TTRE_0000657801,gnl|BL_ORD_ID|97283 ENSG00000198728|LDB1|ENST00000361198|PTHR10378,LDB1,ENST00000361198,ENSG00000198728,376,346.665,194,51.59574468,1.89E-115,PTHR10378,
TTRE_0000083201-mRNA-1 transcript=TTRE_0000083201-mRNA-1 gene=TTRE_0000083201,gnl|BL_ORD_ID|12988 ENSG00000143819|EPHX1|ENST00000614058|PTHR21661,EPHX1,ENST00000614058,ENSG00000143819,456,347.821,193,42.3245614,2.10E-115,PTHR21661,
TTRE_0000019501-mRNA-1 transcript=TTRE_0000019501-mRNA-1 gene=TTRE_0000019501,gnl|BL_ORD_ID|71651 ENSG00000136271|DDX56|ENST00000421223|PTHR24031_SF96,DDX56,ENST00000421223,ENSG00000136271,376,359.762,186,49.46808511,2.28E-115,PTHR24031,SF96
TTRE_0000566501-mRNA-1 transcript=TTRE_0000566501-mRNA-1 gene=TTRE_0000566501,gnl|BL_ORD_ID|135449 ENSG00000080815|PSEN1|ENST00000394164|PTHR10202_SF7,PSEN1,ENST00000394164,ENSG00000080815,464,357.451,198,42.67241379,2.45E-115,PTHR10202,SF7
TTRE_0000547301-mRNA-1 transcript=TTRE_0000547301-mRNA-1 gene=TTRE_0000547301,gnl|BL_ORD_ID|105004 ENSG00000137509|PRCP|ENST00000313010|PTHR11010_SF11,PRCP,ENST00000313010,ENSG00000137509,497,348.591,187,37.62575453,2.78E-115,PTHR11010,SF11
TTRE_0000020901-mRNA-1 transcript=TTRE_0000020901-mRNA-1 gene=TTRE_0000020901,gnl|BL_ORD_ID|207412 ENSG00000156709|AIFM1|ENST00000346424|PTHR22912_SF33,AIFM1,ENST00000346424,ENSG00000156709,327,348.591,167,51.07033639,3.43E-115,PTHR22912,SF33
TTRE_0000525301-mRNA-1 transcript=TTRE_0000525301-mRNA-1 gene=TTRE_0000525301,gnl|BL_ORD_ID|48167 ENSG00000073578|SDHA|ENST00000264932|PTHR11632_SF37,SDHA,ENST00000264932,ENSG00000073578,665,357.451,224,33.68421053,4.05E-115,PTHR11632,SF37
TTRE_0000641101-mRNA-1 transcript=TTRE_0000641101-mRNA-1 gene=TTRE_0000641101,gnl|BL_ORD_ID|96370 ENSG00000196730|DAPK1|ENST00000622514|PTHR22964_SF54,DAPK1,ENST00000622514,ENSG00000196730,1431,384.415,287,20.05590496,7.21E-115,PTHR22964,SF54
TTRE_0000605501-mRNA-1 transcript=TTRE_0000605501-mRNA-1 gene=TTRE_0000605501,gnl|BL_ORD_ID|180219 ENSG00000099797|TECR|ENST00000215567|PTHR10556,TECR,ENST00000215567,ENSG00000099797,309,335.109,162,52.42718447,7.34E-115,PTHR10556,
TTRE_0000111101-mRNA-1 transcript=TTRE_0000111101-mRNA-1 gene=TTRE_0000111101,gnl|BL_ORD_ID|75307 ENSG00000187257|RSBN1L|ENST00000445288|PTHR13354,RSBN1L,ENST00000445288,ENSG00000187257,577,349.747,168,29.11611785,1.01E-114,PTHR13354,
TTRE_0000727601-mRNA-1 transcript=TTRE_0000727601-mRNA-1 gene=TTRE_0000727601,gnl|BL_ORD_ID|78378 ENSG00000106633|GCK|ENST00000616242|PTHR19443,GCK,ENST00000616242,ENSG00000106633,465,345.895,187,40.21505376,1.02E-114,PTHR19443,
TTRE_0000661901-mRNA-1 transcript=TTRE_0000661901-mRNA-1 gene=TTRE_0000661901,gnl|BL_ORD_ID|213498 ENSG00000215301|DDX3X|ENST00000644677|PTHR24031_SF195,DDX3X,ENST00000644677,ENSG00000215301,623,363.614,224,35.95505618,1.05E-114,PTHR24031,SF195
TTRE_0000685401-mRNA-1 transcript=TTRE_0000685401-mRNA-1 gene=TTRE_0000685401,gnl|BL_ORD_ID|66500 ENSG00000112592|TBP|ENST00000616883|PTHR10126_SF15,TBP,ENST00000616883,ENSG00000112592,289,332.028,166,57.43944637,1.08E-114,PTHR10126,SF15
TTRE_0000790901-mRNA-1 transcript=TTRE_0000790901-mRNA-1 gene=TTRE_0000790901,gnl|BL_ORD_ID|1095 ENSG00000173218|VANGL1|ENST00000355485|PTHR20886,VANGL1,ENST00000355485,ENSG00000173218,525,349.747,217,41.33333333,1.27E-114,PTHR20886,
TTRE_0000693301-mRNA-1 transcript=TTRE_0000693301-mRNA-1 gene=TTRE_0000693301,gnl|BL_ORD_ID|185307 ENSG00000185236|RAB11B|ENST00000594216|PTHR24073_SF335,RAB11B,ENST00000594216,ENSG00000185236,180,324.324,157,87.22222222,1.28E-114,PTHR24073,SF335
TTRE_0000916401-mRNA-1 transcript=TTRE_0000916401-mRNA-1 gene=TTRE_0000916401,gnl|BL_ORD_ID|49132 ENSG00000145730|PAM|ENST00000348126|PTHR10680_SF13,PAM,ENST00000348126,ENSG00000145730,867,365.925,220,25.37485582,1.39E-114,PTHR10680,SF13
TTRE_0000220301-mRNA-1 transcript=TTRE_0000220301-mRNA-1 gene=TTRE_0000220301,gnl|BL_ORD_ID|18537 ENSG00000071073|MGAT4A|ENST00000409391|PTHR12062_SF4,MGAT4A,ENST00000409391,ENSG00000071073,536,350.132,182,33.95522388,2.07E-114,PTHR12062,SF4
TTRE_0000432501-mRNA-1 transcript=TTRE_0000432501-mRNA-1 gene=TTRE_0000432501,gnl|BL_ORD_ID|118565 ENSG00000186298|PPP1CC|ENST00000335007|PTHR11668_SF207,PPP1CC,ENST00000335007,ENSG00000186298,324,335.495,156,48.14814815,2.11E-114,PTHR11668,SF207
TTRE_0000637701-mRNA-1 transcript=TTRE_0000637701-mRNA-1 gene=TTRE_0000637701,gnl|BL_ORD_ID|140631 ENSG00000100664|EIF5|ENST00000558506|PTHR23001_SF7,EIF5,ENST00000558506,ENSG00000100664,432,346.665,186,43.05555556,2.33E-114,PTHR23001,SF7
TTRE_0000213201-mRNA-1 transcript=TTRE_0000213201-mRNA-1 gene=TTRE_0000213201,gnl|BL_ORD_ID|39101 ENSG00000138796|HADH|ENST00000309522|PTHR23309_SF11,HADH,ENST00000309522,ENSG00000138796,315,334.339,164,52.06349206,2.56E-114,PTHR23309,SF11
TTRE_0000856801-mRNA-1 transcript=TTRE_0000856801-mRNA-1 gene=TTRE_0000856801,gnl|BL_ORD_ID|212721 ENSG00000147099|HDAC8|ENST00000647886|PTHR10625_SF106,HDAC8,ENST00000647886,ENSG00000147099,404,340.117,159,39.35643564,3.85E-114,PTHR10625,SF106
TTRE_0000410001-mRNA-1 transcript=TTRE_0000410001-mRNA-1 gene=TTRE_0000410001,gnl|BL_ORD_ID|124331 ENSG00000256861|AC048338.1|ENST00000535844|PTHR11679_SF31,AC048338.1,ENST00000535844,ENSG00000256861,539,353.214,221,41.00185529,4.05E-114,PTHR11679,SF31
TTRE_0000896501-mRNA-1 transcript=TTRE_0000896501-mRNA-1 gene=TTRE_0000896501,gnl|BL_ORD_ID|2426 ENSG00000162409|PRKAA2|ENST00000371244|PTHR24343_SF82,PRKAA2,ENST00000371244,ENSG00000162409,553,344.354,201,36.34719711,4.06E-114,PTHR24343,SF82
TTRE_0000673801-mRNA-1 transcript=TTRE_0000673801-mRNA-1 gene=TTRE_0000673801,gnl|BL_ORD_ID|170856 ENSG00000108506|INTS2|ENST00000647009|TF324737,INTS2,ENST00000647009,ENSG00000108506,1197,389.423,301,25.14619883,5.08E-114,TF324737,
TTRE_0000597801-mRNA-1 transcript=TTRE_0000597801-mRNA-1 gene=TTRE_0000597801,gnl|BL_ORD_ID|145900 ENSG00000128918|ALDH1A2|ENST00000558231|PTHR11699_SF102,ALDH1A2,ENST00000558231,ENSG00000128918,490,346.28,196,40,5.43E-114,PTHR11699,SF102
TTRE_0000212501-mRNA-1 transcript=TTRE_0000212501-mRNA-1 gene=TTRE_0000212501,gnl|BL_ORD_ID|50908 ENSG00000086189|DIMT1|ENST00000506390|PTHR11727,DIMT1,ENST00000506390,ENSG00000086189,276,330.102,153,55.43478261,5.85E-114,PTHR11727,
TTRE_0000023401-mRNA-1 transcript=TTRE_0000023401-mRNA-1 gene=TTRE_0000023401,gnl|BL_ORD_ID|18862 ENSG00000115365|LANCL1|ENST00000450366|PTHR12736,LANCL1,ENST00000450366,ENSG00000115365,400,339.347,173,43.25,6.42E-114,PTHR12736,
TTRE_0000355601-mRNA-1 transcript=TTRE_0000355601-mRNA-1 gene=TTRE_0000355601,gnl|BL_ORD_ID|193789 ENSG00000101438|SLC32A1|ENST00000217420|PTHR22950_SF221,SLC32A1,ENST00000217420,ENSG00000101438,526,343.584,169,32.12927757,7.94E-114,PTHR22950,SF221
TTRE_0000419001-mRNA-1 transcript=TTRE_0000419001-mRNA-1 gene=TTRE_0000419001,gnl|BL_ORD_ID|8621 ENSG00000133065|SLC41A1|ENST00000367137|PTHR16228,SLC41A1,ENST00000367137,ENSG00000133065,514,345.51,210,40.85603113,7.97E-114,PTHR16228,
TTRE_0000550201-mRNA-1 transcript=TTRE_0000550201-mRNA-1 gene=TTRE_0000550201,gnl|BL_ORD_ID|112081 ENSG00000131620|ANO1|ENST00000530676|PTHR12308_SF13,ANO1,ENST00000530676,ENSG00000131620,841,367.851,257,30.5588585,8.59E-114,PTHR12308,SF13
TTRE_0000012101-mRNA-1 transcript=TTRE_0000012101-mRNA-1 gene=TTRE_0000012101,gnl|BL_ORD_ID|128875 ENSG00000111540|AC034102.1|ENST00000553116|PTHR24073_SF452,AC034102.1,ENST00000553116,ENSG00000111540,216,325.094,162,75,9.21E-114,PTHR24073,SF452
TTRE_0000389901-mRNA-1 transcript=TTRE_0000389901-mRNA-1 gene=TTRE_0000389901,gnl|BL_ORD_ID|6855 ENSG00000142599|RERE|ENST00000656437|PTHR13859,RERE,ENST00000656437,ENSG00000142599,783,375.555,214,27.33077905,1.00E-113,PTHR13859,
TTRE_0000313601-mRNA-1 transcript=TTRE_0000313601-mRNA-1 gene=TTRE_0000313601,gnl|BL_ORD_ID|1121 ENSG00000162616|DNAJB4|ENST00000370763|PTHR24077_SF223,DNAJB4,ENST00000370763,ENSG00000162616,338,333.954,172,50.88757396,1.07E-113,PTHR24077,SF223
TTRE_0000341801-mRNA-1 transcript=TTRE_0000341801-mRNA-1 gene=TTRE_0000341801,gnl|BL_ORD_ID|25044 ENSG00000225697|SLC26A6|ENST00000358747|PTHR11814,SLC26A6,ENST00000358747,ENSG00000225697,739,357.836,219,29.63464141,1.45E-113,PTHR11814,
TTRE_0000542401-mRNA-1 transcript=TTRE_0000542401-mRNA-1 gene=TTRE_0000542401,gnl|BL_ORD_ID|129111 ENSG00000186298|PPP1CC|ENST00000550991|PTHR11668_SF207,PPP1CC,ENST00000550991,ENSG00000186298,305,332.028,148,48.52459016,1.67E-113,PTHR11668,SF207
TTRE_0000231801-mRNA-1 transcript=TTRE_0000231801-mRNA-1 gene=TTRE_0000231801,gnl|BL_ORD_ID|80263 ENSG00000104313|EYA1|ENST00000303824|PTHR10190,EYA1,ENST00000303824,ENSG00000104313,587,354.369,183,31.17546848,2.24E-113,PTHR10190,
